Name,Account Age,Tweet count,List count,Location,Followers,Following,Favorites,ID,Created at,Tweet,Retweet count,Likes/Favs,Hashtag count,URL count,Tweet length,Place of tweet,mention count,tweet source
Ryandude5678,2,14025,6,"Earth, obviously.",229,610,15139,1382743491088879620,2021-04-15 17:11:53,"Season 2 is officially complete! I'm super excited to share this with you all tomorrow. 

Stay tuned! 😎 https://t.co/2jdK2IPriM",0,0,0,1,127,,0,Twitter Web App
AsTheRain1,2,6838,2,,654,281,30099,1382743491063779328,2021-04-15 17:11:53,"@jamesofcarmel Remind me, which one said they wanted to go off on their own and leave the other one alone, and whic… https://t.co/KqifZpjYLB",0,0,0,1,140,,1,Twitter for iPhone
mollysuave,10,23215,0,"Tampa, FL",363,288,6685,1382743490963120132,2021-04-15 17:11:53,what’s ur favorite bread? this is important,0,0,0,0,43,,0,Twitter for iPhone
BarbieD64198849,1,5262,0,,135,42,10563,1382743490568859651,2021-04-15 17:11:52,@PushpitaHumaira @DheerajDhoopar @AryaSmilesa @PreeranLover @mannushaikh2 @cferr29 @dhoopii_fan @RocksPreeran… https://t.co/mKdMJ3PDtE,0,0,0,1,134,,8,Twitter for Android
OEveryword,1,54822,0,,11,0,1,1382743490514272260,2021-04-15 17:11:52,OPERATION: JOTTED is a go!,0,0,0,0,26,,0,"Cheap Bots, Done Quick!"
CierradaDon,1,1510,0,Alabama 205,104,125,1692,1382743490279452672,2021-04-15 17:11:52,I wonder where my soulmate is at?,0,0,0,0,33,,0,Twitter for iPhone
elginfastener,2,523,0,,156,22,1,1382743490203893763,2021-04-15 17:11:52,"IT;'S NATIONAL TAKE A WILD GUESS DAY!
Is it a calculated risk to celebrate National Take A Wild Guess Day each year… https://t.co/LUKGBVcTYX",0,0,0,1,140,,0,HubSpot
Official_Neeti,2,19966,5,Chhattisgarh(Mahasamund) India,22853,8261,19828,1382743490191257605,2021-04-15 17:11:52,God in RigVeda says that if someone is nearing death and has an incurable illness then I (God) can cure that illnes… https://t.co/HFo9lt71xV,0,0,0,1,140,,0,Twitter for Android
JanvandenHemel,8,3340,332,"Ghent, Belgium",24150,548,5714,1382743490115874819,2021-04-15 17:11:52,Creating stylized hair is easy by drawing tapered curves on surfaces with the Draw Tool in #blender #b3d #bnpr https://t.co/ATW25Mbvhg,0,0,3,0,134,,0,Twitter Web App
D1LLYD0P,1,3410,0,,14,0,11039,1382743490115694597,2021-04-15 17:11:52,everything is about me,0,0,0,0,22,,0,Twitter Web App
